epoch,total_loss,supplier_loss,affordability_penalty,timestamp
1,0.2566,-0.3193,0.0004,2026-02-28T21:30:55.435024
2,-0.2547,-0.4090,0.0000,2026-02-28T21:30:55.446793
3,-0.4070,-0.5257,0.0588,2026-02-28T21:30:55.457409
4,-0.4894,-0.5897,0.0595,2026-02-28T21:30:55.469611
5,-0.5083,-0.6192,0.0602,2026-02-28T21:30:55.482594
6,-0.5207,-0.5730,0.0018,2026-02-28T21:30:55.490573
7,-0.4704,-0.5486,0.0008,2026-02-28T21:30:55.497692
8,-0.4798,-0.6824,0.1295,2026-02-28T21:30:55.507219
9,-0.5473,-0.6604,0.0391,2026-02-28T21:30:55.519815
10,-0.5431,-0.6292,0.0080,2026-02-28T21:30:55.531538
11,-0.5351,-0.6239,0.0041,2026-02-28T21:30:55.549670
12,-0.5600,-0.6421,0.0000,2026-02-28T21:30:55.558644
13,-0.5980,-0.6980,0.0123,2026-02-28T21:30:55.568958
14,-0.5437,-0.7543,0.1186,2026-02-28T21:30:55.579080
15,-0.6014,-0.7240,0.0331,2026-02-28T21:30:55.587651
16,-0.6016,-0.7092,0.0192,2026-02-28T21:30:55.599973
17,-0.5669,-0.6793,0.0207,2026-02-28T21:30:55.609862
18,-0.5773,-0.6752,0.0082,2026-02-28T21:30:55.615439
19,-0.5240,-0.6333,0.0134,2026-02-28T21:30:55.627251
20,-0.6028,-0.7387,0.0408,2026-02-28T21:30:55.635517
21,-0.5666,-0.7929,0.1328,2026-02-28T21:30:55.655567
22,-0.5786,-0.7800,0.1074,2026-02-28T21:30:55.665586
23,-0.6288,-0.7329,0.0103,2026-02-28T21:30:55.675640
24,-0.5866,-0.6787,0.0002,2026-02-28T21:30:55.685498
25,-0.5854,-0.6770,0.0000,2026-02-28T21:30:55.696057
26,-0.6343,-0.7238,0.0001,2026-02-28T21:30:55.706263
27,-0.6367,-0.7405,0.0136,2026-02-28T21:30:55.716555
28,-0.6476,-0.7826,0.0422,2026-02-28T21:30:55.725077
29,-0.5439,-0.7997,0.1607,2026-02-28T21:30:55.750509
30,-0.6543,-0.7705,0.0255,2026-02-28T21:30:55.760080
31,-0.6545,-0.7474,0.0067,2026-02-28T21:30:55.777710
32,-0.6249,-0.7147,0.0014,2026-02-28T21:30:55.786897
33,-0.5451,-0.6371,0.0022,2026-02-28T21:30:55.794048
34,-0.6545,-0.7577,0.0168,2026-02-28T21:30:55.800245
35,-0.6456,-0.7537,0.0229,2026-02-28T21:30:55.809981
36,-0.6132,-0.7436,0.0435,2026-02-28T21:30:55.818576
37,-0.6022,-0.7452,0.0586,2026-02-28T21:30:55.828637
38,-0.6598,-0.7855,0.0490,2026-02-28T21:30:55.848814
39,-0.6796,-0.7698,0.0192,2026-02-28T21:30:55.858874
40,-0.6802,-0.7468,0.0025,2026-02-28T21:30:55.866766
41,-0.6642,-0.7320,0.0010,2026-02-28T21:30:55.878860
42,-0.6785,-0.7374,0.0028,2026-02-28T21:30:55.888941
43,-0.6757,-0.7583,0.0230,2026-02-28T21:30:55.900051
44,-0.5596,-0.8067,0.1770,2026-02-28T21:30:55.909773
45,-0.6520,-0.7684,0.0604,2026-02-28T21:30:55.917325
46,-0.6543,-0.7477,0.0333,2026-02-28T21:30:55.924874
47,-0.6715,-0.7085,0.0012,2026-02-28T21:30:55.932967
48,-0.6144,-0.6625,0.0002,2026-02-28T21:30:55.939517
49,-0.6626,-0.6948,0.0033,2026-02-28T21:30:55.949734
50,-0.6548,-0.6897,0.0079,2026-02-28T21:30:55.962951
51,-0.5863,-0.6443,0.0178,2026-02-28T21:30:55.978242
52,-0.6736,-0.7518,0.0570,2026-02-28T21:30:55.990407
53,-0.6787,-0.7371,0.0353,2026-02-28T21:30:56.001092
54,-0.6546,-0.6937,0.0153,2026-02-28T21:30:56.014059
55,-0.6898,-0.7144,0.0101,2026-02-28T21:30:56.051593
56,-0.6760,-0.7124,0.0105,2026-02-28T21:30:56.065167
57,-0.6106,-0.6581,0.0087,2026-02-28T21:30:56.077165
58,-0.6541,-0.7048,0.0168,2026-02-28T21:30:56.082256
59,-0.6876,-0.7328,0.0128,2026-02-28T21:30:56.100634
60,-0.6885,-0.7545,0.0339,2026-02-28T21:30:56.110709
61,-0.6841,-0.7362,0.0259,2026-02-28T21:30:56.142741
62,-0.6259,-0.7786,0.1027,2026-02-28T21:30:56.152831
63,-0.6946,-0.7510,0.0195,2026-02-28T21:30:56.171242
64,-0.6817,-0.7255,0.0080,2026-02-28T21:30:56.183438
