epoch,cat_loss,rec_loss,timestamp
1,1.9165,0.1785,2026-02-28T21:29:59.031801
2,1.3214,0.0912,2026-02-28T21:30:00.984198
3,0.7310,0.0877,2026-02-28T21:30:02.000681
4,0.4795,0.0855,2026-02-28T21:30:03.105803
5,0.4256,0.0871,2026-02-28T21:30:04.183000
6,0.3526,0.0845,2026-02-28T21:30:06.160900
7,0.3016,0.0860,2026-02-28T21:30:07.795584
8,0.2814,0.0852,2026-02-28T21:30:08.862745
9,0.3100,0.0846,2026-02-28T21:30:09.794634
10,0.2527,0.0852,2026-02-28T21:30:11.688849
11,0.2732,0.0850,2026-02-28T21:30:12.907162
12,0.2291,0.0843,2026-02-28T21:30:13.862473
13,0.2569,0.0842,2026-02-28T21:30:14.506949
14,0.2166,0.0829,2026-02-28T21:30:15.169642
15,0.1991,0.0838,2026-02-28T21:30:15.743881
16,0.2201,0.0838,2026-02-28T21:30:17.237722
17,0.2150,0.0834,2026-02-28T21:30:17.958859
18,0.2012,0.0832,2026-02-28T21:30:18.512486
19,0.1901,0.0854,2026-02-28T21:30:19.249279
20,0.2124,0.0831,2026-02-28T21:30:19.782673
21,0.1916,0.0836,2026-02-28T21:30:20.529397
22,0.1980,0.0852,2026-02-28T21:30:21.084901
23,0.2142,0.0839,2026-02-28T21:30:22.191170
24,0.1824,0.0835,2026-02-28T21:30:23.239342
25,0.2065,0.0843,2026-02-28T21:30:23.769016
26,0.1889,0.0849,2026-02-28T21:30:24.438775
27,0.2073,0.0836,2026-02-28T21:30:24.983651
28,0.1736,0.0831,2026-02-28T21:30:25.612298
29,0.1906,0.0844,2026-02-28T21:30:26.252632
30,0.2065,0.0834,2026-02-28T21:30:28.156829
31,0.2027,0.0829,2026-02-28T21:30:28.927514
32,0.2023,0.0855,2026-02-28T21:30:29.554284
33,0.1695,0.0843,2026-02-28T21:30:30.349611
34,0.2074,0.0837,2026-02-28T21:30:30.865331
35,0.2031,0.0858,2026-02-28T21:30:31.581542
36,0.1748,0.0848,2026-02-28T21:30:32.114391
37,0.1985,0.0832,2026-02-28T21:30:33.209412
38,0.1893,0.0842,2026-02-28T21:30:34.449887
39,0.1664,0.0842,2026-02-28T21:30:35.002556
40,0.1842,0.0856,2026-02-28T21:30:35.736577
41,0.1773,0.0845,2026-02-28T21:30:36.335460
42,0.1757,0.0831,2026-02-28T21:30:37.095177
43,0.1944,0.0838,2026-02-28T21:30:37.627232
44,0.1814,0.0845,2026-02-28T21:30:38.690745
45,0.2059,0.0845,2026-02-28T21:30:39.914226
46,0.1958,0.0832,2026-02-28T21:30:40.523851
47,0.2028,0.0845,2026-02-28T21:30:41.269833
48,0.1953,0.0827,2026-02-28T21:30:41.833221
49,0.1982,0.0834,2026-02-28T21:30:42.621507
50,0.1844,0.0840,2026-02-28T21:30:43.185377
